,0,1
277,ASPS,Altisource Portfolio Solutions S.A. 
278,ASPU,Aspen Group Inc. 
279,ASRT,"Assertio Holdings, Inc. "
280,ASRV,AmeriServ Financial Inc. 
281,ASRVP,AmeriServ Financial Inc. 
282,ASTC,Astrotech Corporation 
283,ASTE,"Astec Industries, Inc. "
284,ASUR,Asure Software Inc 
285,ASYS,"Amtech Systems, Inc. "
286,ATAX,"America First Multifamily Investors, L.P. "
287,ATCX,"Atlas Technical Consultants, Inc. "
288,ATEC,"Alphatec Holdings, Inc. "
289,ATEX,Anterix Inc. 
290,ATHA,"Athira Pharma, Inc. "
291,ATHE,Alterity Therapeutics Limited 
292,ATHX,"Athersys, Inc. "
293,ATIF,ATIF Holdings Limited 
294,ATLC,Atlanticus Holdings Corporation 
295,ATLO,Ames National Corporation 
296,ATNF,180 Life Sciences Corp. 
297,ATNFW,180 Life Sciences Corp. 
298,ATNI,"ATN International, Inc. "
299,ATNX,"Athenex, Inc. "
300,ATOM,Atomera Incorporated 
301,ATOS,"Atossa Therapeutics, Inc. "
302,ATRA,"Atara Biotherapeutics, Inc. "
303,ATRC,"AtriCure, Inc. "
304,ATRI,Atrion Corporation 
305,ATRO,Astronics Corporation 
306,ATRS,"Antares Pharma, Inc. "
307,ATSG,"Air Transport Services Group, Inc "
308,ATVI,"Activision Blizzard, Inc "
309,ATXI,"Avenue Therapeutics, Inc. "
310,AUB,Atlantic Union Bankshares Corporation 
311,AUBAP,Atlantic Union Bankshares Corporation 
312,AUBN,"Auburn National Bancorporation, Inc. "
313,AUDC,AudioCodes Ltd. 
314,AUPH,Aurinia Pharmaceuticals Inc 
315,AUTL,Autolus Therapeutics plc 
316,AUTO,"AutoWeb, Inc. "
317,AUVI,"Applied UV, Inc. "
318,AVAV,"AeroVironment, Inc. "
319,AVCO,Avalon GloboCare Corp. 
320,AVCT,"American Virtual Cloud Technologies, Inc.  "
321,AVCTW,"American Virtual Cloud Technologies, Inc.  "
322,AVDL,Avadel Pharmaceuticals plc 
323,AVEO,"AVEO Pharmaceuticals, Inc. "
324,AVGO,Broadcom Inc. 
325,AVGOP,Broadcom Inc. 
326,AVGR,"Avinger, Inc. "
327,AVID,"Avid Technology, Inc. "
328,AVIR,"Atea Pharmaceuticals, Inc. "
329,AVNW,"Aviat Networks, Inc. "
330,AVO,"Mission Produce, Inc. "
331,AVRO,"AVROBIO, Inc. "
332,AVT,"Avnet, Inc. "
333,AVXL,Anavex Life Sciences Corp. 
334,AWH,Aspira Women's Health Inc. 
335,AWRE,"Aware, Inc. "
336,AXAS,Abraxas Petroleum Corporation 
337,AXDX,"Accelerate Diagnostics, Inc. "
338,AXGN,"Axogen, Inc. "
339,AXLA,Axcella Health Inc. 
340,AXNX,"Axonics Modulation Technologies, Inc. "
341,AXSM,"Axsome Therapeutics, Inc. "
342,AXTI,AXT Inc 
343,AY,Atlantica Sustainable Infrastructure plc 
344,AYLA,"Ayala Pharmaceuticals, Inc. "
345,AYRO,"AYRO, Inc. "
346,AYTU,"Aytu BioScience, Inc. "
